aten_name,diopi_fun,args,count
neg.out,diopiNeg,"['self:[numel: 114688, sizes:@[1, 8, 224, 64]@, stride:@[229376, 128, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @out:[numel: 114688, sizes:@[1, 8, 224, 64]@, stride:@[114688, 64, 512, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",158
neg.out,diopiNeg,"['self:[numel: 114688, sizes:@[1, 8, 224, 64]@, stride:@[229376, 28672, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 114688, sizes:@[1, 8, 224, 64]@, stride:@[114688, 14336, 64, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",158
neg.out,diopiNeg,"['self:[numel: 917504, sizes:@[1, 64, 224, 64]@, stride:@[1835008, 128, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 917504, sizes:@[1, 64, 224, 64]@, stride:@[917504, 64, 4096, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",160
neg.out,diopiNeg,"['self:[numel: 229376, sizes:@[1, 64, 56, 64]@, stride:@[458752, 128, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @out:[numel: 229376, sizes:@[1, 64, 56, 64]@, stride:@[229376, 64, 4096, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",240
neg.out,diopiNeg,"['self:[numel: 28672, sizes:@[1, 8, 56, 64]@, stride:@[57344, 128, 1024, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 28672, sizes:@[1, 8, 56, 64]@, stride:@[28672, 64, 512, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",3
neg.out,diopiNeg,"['self:[numel: 28672, sizes:@[1, 8, 56, 64]@, stride:@[57344, 128, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @out:[numel: 28672, sizes:@[1, 8, 56, 64]@, stride:@[28672, 64, 512, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",237
neg.out,diopiNeg,"['self:[numel: 28672, sizes:@[1, 8, 56, 64]@, stride:@[57344, 7168, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 28672, sizes:@[1, 8, 56, 64]@, stride:@[28672, 3584, 64, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",237
neg.out,diopiNeg,"['self:[numel: 229376, sizes:@[1, 64, 56, 64]@, stride:@[458752, 128, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 229376, sizes:@[1, 64, 56, 64]@, stride:@[229376, 64, 4096, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",240
neg.out,diopiNeg,"['self:[numel: 360448, sizes:@[1, 64, 88, 64]@, stride:@[720896, 128, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @out:[numel: 360448, sizes:@[1, 64, 88, 64]@, stride:@[360448, 64, 4096, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",880
neg.out,diopiNeg,"['self:[numel: 45056, sizes:@[1, 8, 88, 64]@, stride:@[90112, 128, 1024, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @out:[numel: 45056, sizes:@[1, 8, 88, 64]@, stride:@[45056, 64, 512, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",11
neg.out,diopiNeg,"['self:[numel: 45056, sizes:@[1, 8, 88, 64]@, stride:@[90112, 128, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @out:[numel: 45056, sizes:@[1, 8, 88, 64]@, stride:@[45056, 64, 512, 1]@, dtype: c10::Half, memory_format: Contiguous, ] ']",869
