aten_name,diopi_fun,args,count
add_.Tensor,diopiAddInp,"['self:[numel: 917504, sizes: [1, 64, 112, 128], stride: [917504, 14336, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 917504, sizes: [1, 64, 112, 128], stride: [917504, 14336, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 720896, sizes: [1, 64, 88, 128], stride: [720896, 11264, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 720896, sizes: [1, 64, 88, 128], stride: [720896, 11264, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 1114112, sizes: [1, 64, 136, 128], stride: [1114112, 17408, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 1114112, sizes: [1, 64, 136, 128], stride: [1114112, 17408, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 139264, sizes: [1, 136, 1024], stride: [139264, 1024, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 139264, sizes: [1, 136, 1024], stride: [139264, 1024, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 1114112, sizes: [1, 64, 136, 128], stride: [1114112, 17408, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 1114112, sizes: [1, 64, 136, 128], stride: [1114112, 128, 8192, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 90112, sizes: [1, 88, 1024], stride: [90112, 1024, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 90112, sizes: [1, 88, 1024], stride: [90112, 1024, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 720896, sizes: [1, 64, 88, 128], stride: [720896, 11264, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 720896, sizes: [1, 64, 88, 128], stride: [720896, 128, 8192, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 1310720, sizes: [1, 64, 160, 128], stride: [1310720, 20480, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 1310720, sizes: [1, 64, 160, 128], stride: [1310720, 20480, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 720896, sizes: [1, 88, 8192], stride: [720896, 8192, 1], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 720896, sizes: [1, 88, 8192], stride: [720896, 8192, 1], is_view: 0, dtype: float, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 8192, sizes: [8192], stride: [1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 8192, sizes: [8192], stride: [1], is_view: 1, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 163840, sizes: [1, 8, 160, 128], stride: [163840, 20480, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 163840, sizes: [1, 8, 160, 128], stride: [163840, 20480, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 90112, sizes: [1, 8, 88, 128], stride: [90112, 11264, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 90112, sizes: [1, 8, 88, 128], stride: [90112, 11264, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,[],5737
add_.Tensor,diopiAddInp,"['self:[numel: 163840, sizes: [1, 160, 1024], stride: [163840, 1024, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 163840, sizes: [1, 160, 1024], stride: [163840, 1024, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 139264, sizes: [1, 8, 136, 128], stride: [139264, 17408, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 139264, sizes: [1, 8, 136, 128], stride: [139264, 17408, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
add_.Tensor,diopiAddInp,"['self:[numel: 1310720, sizes: [1, 64, 160, 128], stride: [1310720, 20480, 128, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'other:[numel: 1310720, sizes: [1, 64, 160, 128], stride: [1310720, 128, 8192, 1], is_view: 0, dtype: c10::Half, device:xpu:0, layout:Strided, pinned_memory: false, memory_format: Contiguous] ', 'alpha:[1] ']",5737
