aten_name,diopi_fun,args,count
add_.Tensor,diopiAddInp,"['self:[numel: 917504, sizes:@[1, 112, 8192]@, stride:@[917504, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 917504, sizes:@[1, 112, 8192]@, stride:@[917504, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",1
add_.Tensor,diopiAddInp,"['self:[numel: 114688, sizes:@[1, 112, 1024]@, stride:@[114688, 1024, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 114688, sizes:@[1, 112, 1024]@, stride:@[114688, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",1
add_.Tensor,diopiAddInp,"['self:[numel: 917504, sizes:@[1, 112, 8192]@, stride:@[917504, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @other:[numel: 917504, sizes:@[1, 112, 8192]@, stride:@[917504, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",79
add_.Tensor,diopiAddInp,"['self:[numel: 114688, sizes:@[1, 112, 1024]@, stride:@[114688, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @other:[numel: 114688, sizes:@[1, 112, 1024]@, stride:@[114688, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",79
add_.Tensor,diopiAddInp,"['self:[numel: 917504, sizes:@[1, 112, 8192]@, stride:@[917504, 8192, 1]@, dtype: float, memory_format: Contiguous, ] @other:[numel: 917504, sizes:@[1, 112, 8192]@, stride:@[917504, 8192, 1]@, dtype: float, memory_format: Contiguous, ] @alpha:[1] ']",160
add_.Tensor,diopiAddInp,"['self:[numel: 917504, sizes:@[1, 112, 8192]@, stride:@[917504, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 917504, sizes:@[1, 112, 8192]@, stride:@[917504, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",555
add_.Tensor,diopiAddInp,"['self:[numel: 114688, sizes:@[1, 8, 112, 128]@, stride:@[114688, 14336, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 114688, sizes:@[1, 8, 112, 128]@, stride:@[114688, 14336, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",158
add_.Tensor,diopiAddInp,"['self:[numel: 917504, sizes:@[1, 64, 112, 128]@, stride:@[917504, 14336, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 917504, sizes:@[1, 64, 112, 128]@, stride:@[917504, 14336, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",80
add_.Tensor,diopiAddInp,"['self:[numel: 917504, sizes:@[1, 64, 112, 128]@, stride:@[917504, 14336, 128, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 917504, sizes:@[1, 64, 112, 128]@, stride:@[917504, 128, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @alpha:[1] ']",80
add_.Tensor,diopiAddInp,"['self:[numel: 1310720, sizes:@[1, 160, 8192]@, stride:@[1310720, 8192, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 1310720, sizes:@[1, 160, 8192]@, stride:@[1310720, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",1
add_.Tensor,diopiAddInp,"['self:[numel: 163840, sizes:@[1, 160, 1024]@, stride:@[163840, 1024, 1]@, dtype: c10::Half, memory_format: Contiguous, ] @other:[numel: 163840, sizes:@[1, 160, 1024]@, stride:@[163840, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",1
add_.Tensor,diopiAddInp,"['self:[numel: 1310720, sizes:@[1, 160, 8192]@, stride:@[1310720, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @other:[numel: 1310720, sizes:@[1, 160, 8192]@, stride:@[1310720, 8192, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",79
add_.Tensor,diopiAddInp,"['self:[numel: 163840, sizes:@[1, 160, 1024]@, stride:@[163840, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @other:[numel: 163840, sizes:@[1, 160, 1024]@, stride:@[163840, 1024, 1]@, dtype: c10::Half, requires_grad: true, memory_format: Contiguous, ] @alpha:[1] ']",79
